
ENU
Time	Classic\Vacuum gauge process chamber - Pressure [mbar]	Classic\Vacuum gauge roughing pump - Pressure [mbar]
2020-10-03 02:36:38.98 PM	1.97641384147573E-07	0.03490000218153
2020-10-03 02:36:39.98 PM	1.97716431671324E-07	0.0348000004887581
2020-10-03 02:36:40.98 PM	1.97866484086262E-07	0.03490000218153
2020-10-03 02:36:41.98 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:42.98 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:43.98 PM	1.97566350834677E-07	0.03490000218153
2020-10-03 02:36:44.97 PM	1.97641384147573E-07	0.03490000218153
2020-10-03 02:36:45.98 PM	1.97566350834677E-07	0.03490000218153
2020-10-03 02:36:46.98 PM	1.97566350834677E-07	0.0348000004887581
2020-10-03 02:36:47.98 PM	1.97566350834677E-07	0.0348000004887581
2020-10-03 02:36:48.98 PM	1.97566350834677E-07	0.03490000218153
2020-10-03 02:36:49.98 PM	1.97491289100071E-07	0.03490000218153
2020-10-03 02:36:50.98 PM	1.97641384147573E-07	0.03490000218153
2020-10-03 02:36:51.98 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:52.99 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:53.98 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:54.98 PM	1.97641384147573E-07	0.03490000218153
2020-10-03 02:36:55.98 PM	1.97716431671324E-07	0.03490000218153
2020-10-03 02:36:56.98 PM	1.97566350834677E-07	0.03490000218153
2020-10-03 02:36:57.98 PM	1.97491289100071E-07	0.0348000004887581
2020-10-03 02:36:58.98 PM	1.97641384147573E-07	0.0348000004887581
2020-10-03 02:36:59.98 PM	1.97566350834677E-07	0.0348000004887581
2020-10-03 02:37:00.00 PM	1.97566350834677E-07	0.0348000004887581
2020-10-03 02:37:00.98 PM	1.97641384147573E-07	0.03490000218153
2020-10-03 02:37:01.98 PM	1.97641384147573E-07	0.0348000004887581
2020-10-03 02:37:02.98 PM	1.97866484086262E-07	0.03490000218153
2020-10-03 02:37:03.98 PM	1.97866484086262E-07	0.03490000218153
2020-10-03 02:37:04.98 PM	1.97941517399158E-07	0.03490000218153
2020-10-03 02:37:05.98 PM	1.97941517399158E-07	0.03490000218153
